year,temp_anomaly_c
1991,-0.479975
1992,-0.43594265
1993,-0.8944917
1994,-0.5814545
1995,-0.55431026
1996,-0.9551465
1997,0.49780428
1998,0.44578156
1999,-0.06555843
2000,-0.2948748
2001,0.1262229
2002,0.5520287
2003,-0.32556173
2004,0.3968456
2005,-0.16237345
2006,0.58855623
2007,0.5899001
2008,0.12098041
2009,-0.25955883
2010,0.33710185
2011,0.06573379
2012,-0.701492
2013,0.48496988
2014,-0.43436465
2015,0.4849732
2016,0.9073615
2017,0.06622958
2018,-0.08229879
2019,0.5477996
2020,0.01511391
2021,0.3239061
2022,0.99214244
2023,1.194569
2024,0.95222735
2025,2.0659463
