region,year,yield_c_ha
Batken,1991,15.8
Batken,1992,17.9
Batken,1993,16.0
Batken,1994,10.9
Batken,1995,18.0
Batken,1996,20.0
Batken,1997,22.4
Batken,1998,22.2
Batken,1999,20.8
Batken,2000,21.8
Batken,2001,22.2
Batken,2002,22.7
Batken,2003,21.5
Batken,2004,20.4
Batken,2005,18.6
Batken,2006,16.1
Batken,2007,17.6
Batken,2008,19.5
Batken,2009,22.8
Batken,2010,20.1
Batken,2011,15.1
Batken,2012,17.6
Batken,2013,17.7
Batken,2014,15.8
Batken,2015,17.8
Batken,2016,17.0
Batken,2017,17.4
Batken,2018,17.8
Batken,2019,20.9
Batken,2020,20.6
Batken,2021,13.8
Batken,2022,20.7
Batken,2023,17.0
Batken,2024,18.7
Batken,2025,16.6
Jalal-Abad,1991,21.2
Jalal-Abad,1992,21.0
Jalal-Abad,1993,21.4
Jalal-Abad,1994,16.0
Jalal-Abad,1995,18.8
Jalal-Abad,1996,21.7
Jalal-Abad,1997,24.0
Jalal-Abad,1998,23.2
Jalal-Abad,1999,23.4
Jalal-Abad,2000,24.2
Jalal-Abad,2001,23.8
Jalal-Abad,2002,24.6
Jalal-Abad,2003,24.5
Jalal-Abad,2004,23.3
Jalal-Abad,2005,21.9
Jalal-Abad,2006,19.3
Jalal-Abad,2007,22.2
Jalal-Abad,2008,24.5
Jalal-Abad,2009,28.3
Jalal-Abad,2010,23.0
Jalal-Abad,2011,19.9
Jalal-Abad,2012,19.9
Jalal-Abad,2013,23.5
Jalal-Abad,2014,24.1
Jalal-Abad,2015,26.7
Jalal-Abad,2016,27.2
Jalal-Abad,2017,26.7
Jalal-Abad,2018,27.1
Jalal-Abad,2019,27.2
Jalal-Abad,2020,24.1
Jalal-Abad,2021,22.1
Jalal-Abad,2022,25.7
Jalal-Abad,2023,23.7
Jalal-Abad,2024,27.7
Jalal-Abad,2025,26.3
Issyk-Kul,1991,27.9
Issyk-Kul,1992,31.4
Issyk-Kul,1993,33.1
Issyk-Kul,1994,24.3
Issyk-Kul,1995,18.8
Issyk-Kul,1996,21.9
Issyk-Kul,1997,28.4
Issyk-Kul,1998,30.8
Issyk-Kul,1999,30.7
Issyk-Kul,2000,25.5
Issyk-Kul,2001,26.4
Issyk-Kul,2002,25.1
Issyk-Kul,2003,22.8
Issyk-Kul,2004,24.0
Issyk-Kul,2005,19.6
Issyk-Kul,2006,18.5
Issyk-Kul,2007,18.1
Issyk-Kul,2008,15.1
Issyk-Kul,2009,26.3
Issyk-Kul,2010,19.3
Issyk-Kul,2011,19.1
Issyk-Kul,2012,13.5
Issyk-Kul,2013,21.6
Issyk-Kul,2014,16.2
Issyk-Kul,2015,23.5
Issyk-Kul,2016,24.4
Issyk-Kul,2017,24.7
Issyk-Kul,2018,25.0
Issyk-Kul,2019,25.4
Issyk-Kul,2020,26.6
Issyk-Kul,2021,16.0
Issyk-Kul,2022,25.3
Issyk-Kul,2023,21.8
Issyk-Kul,2024,25.7
Issyk-Kul,2025,26.0
Naryn,1991,27.9
Naryn,1992,24.8
Naryn,1993,22.9
Naryn,1994,16.3
Naryn,1995,18.3
Naryn,1996,20.9
Naryn,1997,23.5
Naryn,1998,26.0
Naryn,1999,21.5
Naryn,2000,22.5
Naryn,2001,19.4
Naryn,2002,21.7
Naryn,2003,19.9
Naryn,2004,21.4
Naryn,2005,18.8
Naryn,2006,15.4
Naryn,2007,20.3
Naryn,2008,17.3
Naryn,2009,21.2
Naryn,2010,18.6
Naryn,2011,20.2
Naryn,2012,18.2
Naryn,2013,21.7
Naryn,2014,16.7
Naryn,2015,19.0
Naryn,2016,20.4
Naryn,2017,19.7
Naryn,2018,20.1
Naryn,2019,20.0
Naryn,2020,21.8
Naryn,2021,20.8
Naryn,2022,21.2
Naryn,2023,19.4
Naryn,2024,21.2
Naryn,2025,21.9
Osh,1991,16.0
Osh,1992,19.6
